133;12660;8512;
134;8512;13567;
135;11377;22999;
136;22999;11385;
137;11385;15438;
138;15438;1991;
139;1991;13585;
140;13585;11404;
141;11404;12688;
142;12688;1103;
143;1103;1102;
144;26817;3181;
145;3181;1040;
146;99;15101;
147;15101;15403;
148;15403;135;
149;11290;24465;
150;24465;11286;
151;11286;24466;
152;24466;11287;
153;11287;2463;
154;2463;1055;
155;15098;15095;
156;15095;15097;
157;15097;15096;
158;15096;15099;
159;15099;15186;
160;15186;1031;
161;1031;150;
162;150;16048;
163;16048;15185;
164;15185;16795;
165;16795;139;
166;139;7994;
167;7994;140;
168;140;16037;
169;16037;17186;
170;17186;13455;
171;13455;141;
172;141;13452;
173;13452;13447;
174;13447;142;
175;142;16030;
176;16030;16029;
177;16029;8304;
178;136;15182;
179;15182;15184;
180;15184;15183;
181;15183;15181;
182;15181;17193;
183;17193;16791;
184;16791;144;
185;144;14898;
186;14898;145;
187;177;21490;
188;21490;19178;
189;19178;171;
190;24392;179;
191;179;16573;
192;16573;24759;
193;24759;24755;
194;24755;3861;
195;3861;24754;
196;24754;28093;
197;28093;24753;
198;24753;24742;
199;24742;6276;
200;6276;7883;
201;7883;24387;
202;24387;24388;
203;24388;178;
204;923;922;
205;922;16571;
206;16571;24383;
207;24383;24382;
208;24382;166;
209;166;165;
210;165;164;
211;164;163;
212;1054;17234;
213;17234;17222;
214;17222;17229;
215;17229;17235;
216;17235;162;
217;172;21487;
218;21487;173;
219;173;26800;
220;26800;174;
221;174;175;
222;175;176;
223;171;21489;
224;21489;170;
225;170;21488;
226;21488;169;
227;1992;2760;
228;2760;25455;
229;25455;910;
230;161;26448;
231;26448;26449;
232;26449;19598;
233;19598;154;
234;4188;7008;
235;7008;180;
236;268;269;
237;269;270;
238;270;271;
239;271;11552;
240;11552;3586;
241;3586;11553;
242;11553;14234;
243;14234;1831;
244;1831;3563;
245;3563;3546;
246;3546;11554;
247;11554;3590;
248;272;16077;
249;16077;16076;
250;16076;14907;
251;14907;20908;
252;20908;19981;
253;19981;8346;
254;8346;21617;
255;21617;3589;
256;3589;273;
257;273;274;
258;274;275;
259;275;11912;
260;11912;276;
261;276;1416;
262;1416;277;
263;277;11913;
264;11913;278;
265;278;279;
266;279;11293;
267;11293;280;
268;280;281;
269;281;8350;
270;8350;282;
271;282;283;
272;283;284;
273;284;285;
274;285;286;
275;286;287;
276;287;288;
277;288;3404;
278;3404;289;
279;289;8349;
280;8349;16075;
281;16075;290;
282;290;291;
283;237;20238;
284;20238;296;
285;296;20243;
286;20243;295;
287;295;20246;
288;20246;294;
289;294;20249;
290;20249;293;
291;293;22929;
292;22929;20253;
293;20253;297;
294;297;298;
295;298;299;
296;299;300;
297;300;301;
298;301;302;
299;302;4471;
300;1079;4474;
301;329;20289;
302;20289;328;
303;328;20285;
304;20285;252;
305;252;327;
306;327;253;
307;253;19482;
308;19482;326;
309;326;325;
310;325;19481;
311;19481;330;
312;330;19479;
313;19479;331;
314;331;332;
315;332;333;
316;333;19476;
317;19476;334;
318;334;335;
319;335;336;
320;336;15321;
321;15321;337;
322;337;338;
323;338;339;
324;339;340;
325;340;341;
326;341;23957;
327;23957;342;
328;342;343;
329;343;15312;
330;15312;4472;
331;348;349;
332;349;350;
333;350;351;
334;351;10544;
335;10544;352;
336;352;353;
337;353;354;
338;354;355;
339;355;356;
340;1060;21784;
341;21784;1458;
342;1458;12205;
343;12205;21789;
344;21789;376;
345;376;21790;
346;21790;15959;
347;15959;377;
348;377;21794;
349;21794;12773;
350;2732;22128;
351;8201;20002;
352;20002;12405;
353;12405;20003;
354;20003;20004;
